pointx,pointy,valuex,valuey
193.0,362.0,0.0,0.0
289.0,382.0,175.0,0.0
392.0,407.0,350.0,0.0
635.0,460.0,700.0,0.0
886.0,336.0,700.0,525.0
814.0,378.0,700.0,350.0
730.0,421.0,700.0,175.0
296.0,332.0,0.0,175.0
387.0,301.0,0.0,350.0
470.0,269.0,0.0,525.0
769.0,317.0,525.0,525.0
693.0,360.0,525.0,350.0
608.0,398.0,525.0,175.0
389.0,354.0,175.0,175.0
491.0,376.0,350.0,175.0
561.0,284.0,175.0,525.0
663.0,302.0,350.0,525.0
506.0,432.0,525.0,0.0
-9.0,374.0,-175.0,-175.0
97.0,342.0,-175.0,0.0
203.0,310.0,-175.0,175.0
299.0,283.0,-175.0,350.0
379.0,254.0,-175.0,525.0
459.0,225.0,-175.0,700.0
90.0,392.0,0.0,-175.0
553.0,237.0,0.0,700.0
189.0,410.0,175.0,-175.0
475.0,319.0,175.0,350.0
647.0,249.0,175.0,700.0
293.0,438.0,350.0,-175.0
577.0,339.0,350.0,350.0
749.0,265.0,350.0,700.0
404.0,466.0,525.0,-175.0
845.0,274.0,525.0,700.0
540.0,499.0,700.0,-175.0
958.0,294.0,700.0,700.0
676.0,532.0,875.0,-175.0
764.0,488.0,875.0,0.0
852.0,444.0,875.0,175.0
935.0,396.0,875.0,350.0
1003.0,355.0,875.0,525.0
1071.0,314.0,875.0,700.0
