pointx,pointy,valuex,valuey
193.0,359.0,0.0,0.0
289.0,379.0,175.0,0.0
390.0,403.0,350.0,0.0
507.0,428.0,525.0,0.0
638.0,460.0,700.0,0.0
298.0,323.0,0.0,175.0
389.0,346.0,175.0,175.0
492.0,370.0,350.0,175.0
607.0,389.0,525.0,175.0
731.0,412.0,700.0,175.0
386.0,295.0,0.0,350.0
693.0,351.0,525.0,350.0
812.0,367.0,700.0,350.0
468.0,266.0,0.0,525.0
660.0,297.0,350.0,525.0
771.0,314.0,525.0,525.0
887.0,335.0,700.0,525.0
-13.0,378.0,-175.0,-175.0
97.0,339.0,-175.0,0.0
207.0,300.0,-175.0,175.0
293.66666666666663,277.3333333333333,-175.0,350.0
372.0,250.5,-175.0,525.0
450.3333333333335,223.66666666666674,-175.0,700.0
88.0,395.0,0.0,-175.0
550.0,237.0,0.0,700.0
189.0,412.0,175.0,-175.0
478.33333333333337,312.6666666666667,175.0,350.0
564.0,281.5,175.0,525.0
649.6666666666666,250.33333333333331,175.0,700.0
288.0,436.0,350.0,-175.0
576.0,333.5,350.0,350.0
744.0,260.5,350.0,700.0
407.0,467.0,525.0,-175.0
849.0,277.0,525.0,700.0
545.0,508.0,700.0,-175.0
962.0,303.0,700.0,700.0
683.0,549.0,875.0,-175.0
769.0,492.0,875.0,0.0
855.0,435.0,875.0,175.0
931.0,383.0,875.0,350.0
1003.0,356.0,875.0,525.0
1075.0,329.0,875.0,700.0
