pointx,pointy,valuex,valuey
978.0,322.0,0.0,0.0
879.0,404.0,0.0,175.0
764.0,483.0,0.0,350.0
621.0,570.0,0.0,525.0
824.0,309.0,175.0,0.0
723.0,387.0,175.0,175.0
602.0,462.0,175.0,350.0
456.0,531.0,175.0,525.0
691.0,300.0,350.0,0.0
461.0,439.0,350.0,350.0
568.0,285.0,525.0,0.0
321.0,502.0,350.0,525.0
199.0,473.0,525.0,525.0
95.0,451.0,700.0,525.0
338.0,417.0,525.0,350.0
233.0,395.0,700.0,350.0
354.0,337.0,700.0,175.0
449.0,287.0,700.0,0.0
1229.0,249.0,-175.0,-175.0
1132.0,335.0,-175.0,0.0
1035.0,421.0,-175.0,175.0
926.0,504.0,-175.0,350.0
786.0,609.0,-175.0,525.0
646.0,714.0,-175.0,700.0
1077.0,240.0,0.0,-175.0
478.0,657.0,0.0,700.0
925.0,231.0,175.0,-175.0
310.0,600.0,175.0,700.0
806.0,230.5,350.0,-175.0
576.0,369.5,350.0,175.0
181.0,565.0,350.0,700.0
683.0,219.0,525.0,-175.0
453.0,351.0,525.0,175.0
60.0,529.0,525.0,700.0
544.0,237.0,700.0,-175.0
-43.0,507.0,700.0,700.0
405.0,255.0,875.0,-175.0
330.0,289.0,875.0,0.0
255.0,323.0,875.0,175.0
128.0,373.0,875.0,350.0
-9.0,429.0,875.0,525.0
-146.0,485.0,875.0,700.0
