pointx,pointy,valuex,valuey
977.0,322.0,0.0,0.0
882.0,407.0,0.0,175.0
766.0,485.0,0.0,350.0
622.0,567.0,0.0,525.0
824.0,308.0,175.0,0.0
723.0,388.0,175.0,175.0
602.0,461.0,175.0,350.0
458.0,531.0,175.0,525.0
686.0,299.0,350.0,0.0
463.0,442.0,350.0,350.0
326.0,502.0,350.0,525.0
568.0,285.0,525.0,0.0
340.0,417.0,525.0,350.0
200.0,475.0,525.0,525.0
97.0,452.0,700.0,525.0
232.0,396.0,700.0,350.0
459.0,277.0,700.0,0.0
460.2297418923836,353.00421908841383,525.0,175.0
350.9193519857424,337.6031924057588,700.0,175.0
582.8900062389557,370.493539767009,350.0,175.0
1219.0,246.0,-175.0,-175.0
1130.0,336.0,-175.0,0.0
1041.0,426.0,-175.0,175.0
930.0,509.0,-175.0,350.0
786.0,603.0,-175.0,525.0
642.0,697.0,-175.0,700.0
1072.0,237.0,0.0,-175.0
478.0,649.0,0.0,700.0
925.0,228.0,175.0,-175.0
314.0,601.0,175.0,700.0
789.1099937610443,227.506460232991,350.0,-175.0
189.0,562.0,350.0,700.0
675.7702581076164,216.99578091158617,525.0,-175.0
60.0,533.0,525.0,700.0
567.0806480142576,216.39680759424118,700.0,-175.0
-38.0,508.0,700.0,700.0
458.3910379208987,215.7978342768962,875.0,-175.0
350.0,269.0,875.0,0.0
241.60896207910127,322.2021657231038,875.0,175.0
124.0,375.0,875.0,350.0
-6.0,429.0,875.0,525.0
-136.0,483.0,875.0,700.0
