pointx,pointy,valuex,valuey
789.0,107.0,0.0,0.0
1040.0,107.0,-250.0,0.0
955.0,232.0,-250.0,250.0
847.0,372.0,-250.0,500.0
1268.0,241.0,-500.0,250.0
1209.0,404.0,-500.0,500.0
282.0,309.0,250.0,500.0
61.0,276.0,500.0,500.0
232.0,171.0,500.0,250.0
438.0,193.0,250.0,250.0
564.0,90.0,250.0,0.0
1571.0,436.0,-750.0,500.0
1561.0,622.0,-750.0,750.0
1150.0,567.0,-500.0,750.0
739.0,512.0,-250.0,750.0
881.5,1.5,0.0,-250.0
696.5,212.5,0.0,250.0
564.5,340.5,0.0,500.0
432.5,468.5,0.0,750.0
690.0,-13.0,250.0,-250.0
126.0,425.0,250.0,750.0
-110.0,381.0,500.0,750.0
-160.0,243.0,750.0,500.0
-346.0,337.0,750.0,750.0
